key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0002,d,3.6719,,6643a65c3ea38fe03b60767d,B,2024-06-22_06h23.01.447,Slot Machine Game,2023.1.3,Win32,21.83406114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643a65c3ea38fe03b60767d,B,2024-06-22_06h23.01.447,Slot Machine Game,2023.1.3,Win32,21.83406114,3.7201,space,27.4312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643a65c3ea38fe03b60767d,B,2024-06-22_06h23.01.447,Slot Machine Game,2023.1.3,Win32,21.83406114,,,,,31.2191,space,45.0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643a65c3ea38fe03b60767d,B,2024-06-22_06h23.01.447,Slot Machine Game,2023.1.3,Win32,21.83406114,,,,,,,,,76.305,space,7.6366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643a65c3ea38fe03b60767d,B,2024-06-22_06h23.01.447,Slot Machine Game,2023.1.3,Win32,21.83406114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643a65c3ea38fe03b60767d,B,2024-06-22_06h23.01.447,Slot Machine Game,2023.1.3,Win32,21.83406114,,,,,,,,,,,,,226.3514,space,4.0279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643a65c3ea38fe03b60767d,B,2024-06-22_06h23.01.447,Slot Machine Game,2023.1.3,Win32,21.83406114,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",230.4378,0,1.6149,,left,1,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643a65c3ea38fe03b60767d,B,2024-06-22_06h23.01.447,Slot Machine Game,2023.1.3,Win32,21.83406114,,,,,,,,,,,,,,,,,,,233.8886,1,0.5105,,left,1,,stimuli/card_0_transparent.png,100,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643a65c3ea38fe03b60767d,B,2024-06-22_06h23.01.447,Slot Machine Game,2023.1.3,Win32,21.83406114,,,,,,,,,,,,,,,,,,,236.2651,2,2.0446,,left,0.5,,stimuli/card_10_transparent.png,110,10,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643a65c3ea38fe03b60767d,B,2024-06-22_06h23.01.447,Slot Machine Game,2023.1.3,Win32,21.83406114,,,,,,,,,,,,,,,,,,,239.6844,3,0.2577,,left,0.5,,stimuli/card_10_transparent.png,120,10,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
