key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_presentationInterval,reward_presentation_time,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,main_trial_rt,main_trial_duration,main_reward_seq,reward_rand_val,main_reward_img,current_reward
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,730.4719,14,,1,0.3,14,0,14,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.9886,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",740.9922,0,,0.5,0.3,0,0,0,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,746.5047,1,,1,0.3,1,0,1,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,752.0184,2,,0.5,0.3,2,0,2,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,757.5292,3,,1.5,0.3,3,0,3,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,763.037,4,,1,0.3,4,0,4,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,768.5524,5,,1.5,0.3,5,0,5,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,774.0707,6,,1,0.3,6,0,6,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,779.5853,7,,0.5,0.3,7,0,7,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,785.1016,8,,1.5,0.3,8,0,8,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,790.617,9,,0.5,0.3,9,0,9,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,796.1187,10,,0.5,0.3,10,0,10,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,801.6335,11,,1,0.3,11,0,11,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,807.1515,12,,0.5,0.3,12,0,12,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,812.6651,13,,1.5,0.3,13,0,13,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,818.1675,14,,1,0.3,14,0,14,0,1,,,,,,,,,,,
,,,,test,A,2024-04-30_12h06.48.624,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823.6827,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,
