key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0003,k,2.821,,66295d6b3abf76cfdfeb424d,A,2024-07-02_16h01.04.593,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66295d6b3abf76cfdfeb424d,A,2024-07-02_16h01.04.593,Slot Machine Game,2023.1.3,Win32,59.52380952,2.8281,l,18.4196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66295d6b3abf76cfdfeb424d,A,2024-07-02_16h01.04.593,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,21.2691,l,31.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66295d6b3abf76cfdfeb424d,A,2024-07-02_16h01.04.593,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,52.7947,k,12.6459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66295d6b3abf76cfdfeb424d,A,2024-07-02_16h01.04.593,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66295d6b3abf76cfdfeb424d,A,2024-07-02_16h01.04.593,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,207.1786,down,5.2558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66295d6b3abf76cfdfeb424d,A,2024-07-02_16h01.04.593,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",212.4623,0,1.135,,left,1.5,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66295d6b3abf76cfdfeb424d,A,2024-07-02_16h01.04.593,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,215.9403,1,0.7844,,up,0.5,,stimuli/card_10_transparent.png,20,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66295d6b3abf76cfdfeb424d,A,2024-07-02_16h01.04.593,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,218.0422,2,0.4219,,right,0.5,,stimuli/card_0_transparent.png,20,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66295d6b3abf76cfdfeb424d,A,2024-07-02_16h01.04.593,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,219.7773,3,0.9847,,up,0.5,,stimuli/card_100_transparent.png,120,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
